Date,GBPJPY
2001-01-02 23:00:00,171.806923077
2001-01-03 00:00:00,171.778474576
2001-01-03 01:00:00,171.897818182
2001-01-03 02:00:00,172.048275862
2001-01-03 03:00:00,172.126333333
2001-01-03 04:00:00,172.131864407
2001-01-03 05:00:00,172.066896552
2001-01-03 06:00:00,172.064237288
2001-01-03 07:00:00,171.754666667
2001-01-03 08:00:00,172.075666667
2001-01-03 09:00:00,172.215925926
2001-01-03 10:00:00,172.155438596
2001-01-03 11:00:00,172.285666667
2001-01-03 12:00:00,172.459666667
2001-01-03 13:00:00,172.039333333
2001-01-03 14:00:00,172.099666667
2001-01-03 15:00:00,172.205333333
2001-01-03 16:00:00,171.846101695
2001-01-03 17:00:00,171.775178571
2001-01-03 18:00:00,171.225333333
2001-01-03 19:00:00,169.882631579
2001-01-03 20:00:00,169.35047619
2001-01-03 21:00:00,169.267413793
2001-01-03 22:00:00,169.192586207
2001-01-03 23:00:00,169.517413793
2001-01-04 00:00:00,169.819333333
2001-01-04 01:00:00,169.800333333
2001-01-04 02:00:00,169.629166667
2001-01-04 03:00:00,169.578666667
2001-01-04 04:00:00,169.545932203
2001-01-04 05:00:00,169.5545
2001-01-04 06:00:00,169.515333333
2001-01-04 07:00:00,170.0745
2001-01-04 08:00:00,171.649333333
2001-01-04 09:00:00,171.765
2001-01-04 10:00:00,171.529833333
2001-01-04 11:00:00,171.558
2001-01-04 12:00:00,170.963
2001-01-04 13:00:00,171.152666667
2001-01-04 14:00:00,171.588166667
2001-01-04 15:00:00,172.065
2001-01-04 16:00:00,172.264
2001-01-04 17:00:00,172.676545455
2001-01-04 18:00:00,172.793018868
2001-01-04 19:00:00,173.3062
2001-01-04 20:00:00,173.554
2001-01-04 21:00:00,173.707333333
2001-01-04 22:00:00,173.497118644
2001-01-04 23:00:00,173.8
2001-01-05 00:00:00,174.589666667
2001-01-05 01:00:00,174.667666667
2001-01-05 02:00:00,175.240166667
2001-01-05 03:00:00,174.9755
2001-01-05 04:00:00,175.223166667
2001-01-05 05:00:00,175.352666667
2001-01-05 06:00:00,175.144
2001-01-05 07:00:00,175.231333333
2001-01-05 08:00:00,174.937166667
2001-01-05 09:00:00,175.006333333
2001-01-05 10:00:00,175.164
2001-01-05 11:00:00,174.8265
2001-01-05 12:00:00,174.779166667
2001-01-05 13:00:00,174.696666667
2001-01-05 14:00:00,174.415666667
2001-01-05 15:00:00,174.360666667
2001-01-05 16:00:00,173.927966102
2001-01-05 17:00:00,174.098135593
2001-01-05 18:00:00,174.347647059
2001-01-05 19:00:00,174.932884615
2001-01-05 20:00:00,175.096315789
2001-01-05 21:00:00,
2001-01-05 22:00:00,
2001-01-05 23:00:00,
2001-01-06 00:00:00,
2001-01-06 01:00:00,
2001-01-06 02:00:00,
2001-01-06 03:00:00,
2001-01-06 04:00:00,
2001-01-06 05:00:00,
2001-01-06 06:00:00,
2001-01-06 07:00:00,
2001-01-06 08:00:00,
2001-01-06 09:00:00,
2001-01-06 10:00:00,
2001-01-06 11:00:00,
2001-01-06 12:00:00,
2001-01-06 13:00:00,
2001-01-06 14:00:00,
2001-01-06 15:00:00,
2001-01-06 16:00:00,
2001-01-06 17:00:00,
2001-01-06 18:00:00,
2001-01-06 19:00:00,
2001-01-06 20:00:00,
2001-01-06 21:00:00,
2001-01-06 22:00:00,
2001-01-06 23:00:00,
2001-01-07 00:00:00,
2001-01-07 01:00:00,
2001-01-07 02:00:00,
2001-01-07 03:00:00,
2001-01-07 04:00:00,
2001-01-07 05:00:00,
2001-01-07 06:00:00,
2001-01-07 07:00:00,
2001-01-07 08:00:00,
2001-01-07 09:00:00,
2001-01-07 10:00:00,
2001-01-07 11:00:00,
2001-01-07 12:00:00,
2001-01-07 13:00:00,
2001-01-07 14:00:00,
2001-01-07 15:00:00,
2001-01-07 16:00:00,
2001-01-07 17:00:00,
2001-01-07 18:00:00,
2001-01-07 19:00:00,
2001-01-07 20:00:00,
2001-01-07 21:00:00,
2001-01-07 22:00:00,
2001-01-07 23:00:00,175.177358491
2001-01-08 00:00:00,175.117192982
2001-01-08 01:00:00,175.114915254
2001-01-08 02:00:00,175.064915254
2001-01-08 03:00:00,174.976206897
2001-01-08 04:00:00,174.920333333
2001-01-08 05:00:00,174.875666667
2001-01-08 06:00:00,174.916470588
2001-01-08 07:00:00,175.08
2001-01-08 08:00:00,175.3595
2001-01-08 09:00:00,174.941833333
2001-01-08 10:00:00,174.92
2001-01-08 11:00:00,174.683
2001-01-08 12:00:00,174.530333333
2001-01-08 13:00:00,174.2565
2001-01-08 14:00:00,174.116666667
2001-01-08 15:00:00,174.284
2001-01-08 16:00:00,173.894166667
2001-01-08 17:00:00,173.322
2001-01-08 18:00:00,173.196271186
2001-01-08 19:00:00,173.235535714
2001-01-08 20:00:00,173.506896552
2001-01-08 21:00:00,173.5235
2001-01-08 22:00:00,173.646315789
2001-01-08 23:00:00,173.890333333
2001-01-09 00:00:00,173.460333333
2001-01-09 01:00:00,173.132
2001-01-09 02:00:00,173.2855
2001-01-09 03:00:00,173.316166667
2001-01-09 04:00:00,173.2335
2001-01-09 05:00:00,173.357333333
2001-01-09 06:00:00,173.437083333
2001-01-09 07:00:00,173.374909091
2001-01-09 08:00:00,173.056666667
2001-01-09 09:00:00,172.692833333
2001-01-09 10:00:00,172.475333333
2001-01-09 11:00:00,172.535833333
2001-01-09 12:00:00,172.427
2001-01-09 13:00:00,172.2615
2001-01-09 14:00:00,172.7805
2001-01-09 15:00:00,173.417
2001-01-09 16:00:00,173.622166667
2001-01-09 17:00:00,173.719152542
2001-01-09 18:00:00,173.801836735
2001-01-09 19:00:00,173.985116279
