Date,USDCHF
2001-01-02 23:00:00,1.59938181818
2001-01-03 00:00:00,1.60002692308
2001-01-03 01:00:00,1.59992708333
2001-01-03 02:00:00,1.60043333333
2001-01-03 03:00:00,1.600336
2001-01-03 04:00:00,1.59956346154
2001-01-03 05:00:00,1.59948958333
2001-01-03 06:00:00,1.598885
2001-01-03 07:00:00,1.60369666667
2001-01-03 08:00:00,1.59668166667
2001-01-03 09:00:00,1.59426440678
2001-01-03 10:00:00,1.59526964286
2001-01-03 11:00:00,1.59184
2001-01-03 12:00:00,1.594205
2001-01-03 13:00:00,1.597185
2001-01-03 14:00:00,1.60093166667
2001-01-03 15:00:00,1.60393666667
2001-01-03 16:00:00,1.60337833333
2001-01-03 17:00:00,1.60181551724
2001-01-03 18:00:00,1.60941
2001-01-03 19:00:00,1.62531052632
2001-01-03 20:00:00,1.62973829787
2001-01-03 21:00:00,1.63031636364
2001-01-03 22:00:00,1.63132962963
2001-01-03 23:00:00,1.63064285714
2001-01-04 00:00:00,1.62692542373
2001-01-04 01:00:00,1.62690666667
2001-01-04 02:00:00,1.62735517241
2001-01-04 03:00:00,1.627094
2001-01-04 04:00:00,1.62650961538
2001-01-04 05:00:00,1.627234
2001-01-04 06:00:00,1.62681666667
2001-01-04 07:00:00,1.61910833333
2001-01-04 08:00:00,1.60648333333
2001-01-04 09:00:00,1.60712
2001-01-04 10:00:00,1.60265833333
2001-01-04 11:00:00,1.606355
2001-01-04 12:00:00,1.61096833333
2001-01-04 13:00:00,1.60807333333
2001-01-04 14:00:00,1.60619333333
2001-01-04 15:00:00,1.60526666667
2001-01-04 16:00:00,1.61006333333
2001-01-04 17:00:00,1.60753773585
2001-01-04 18:00:00,1.60391372549
2001-01-04 19:00:00,1.60315416667
2001-01-04 20:00:00,1.60563061224
2001-01-04 21:00:00,1.60507457627
2001-01-04 22:00:00,1.60439482759
2001-01-04 23:00:00,1.600728
2001-01-05 00:00:00,1.600035
2001-01-05 01:00:00,1.60039491525
2001-01-05 02:00:00,1.59906
2001-01-05 03:00:00,1.59876896552
2001-01-05 04:00:00,1.59723220339
