PM1-ug-m3,PM25-ug-m3,PM10-ug-m3,ParticleNumber-Nr-cm3,BlackCarbon-ug-m3,pPAHs-ng-m3,ActiveSurfaceArea-mm2-m3
10.28,10.857,12.54,31402,0.33718,17,43
11.43,11.43,14.171,31592,1.5104,17,43
11.425,11.425,15.221,29633,0.68571,17,43
10.861,11.43,14.171,30346,1.6867,17,43
10.861,10.861,14.171,31350,1.1137,17,43
11.43,11.43,13.093,31991,1.1938,17,42
11.43,11.43,13.093,31820,0.4576,17,42
11.43,11.991,15.227,31282,1.9296,17,42
11.43,11.43,15.227,31265,2.3875,17,42
10.861,11.43,14.171,31589,2.0486,17,42
10.289,10.865,11.995,31522,0.97588,17,42
10.289,10.865,11.434,31821,0.67308,17,42
10.865,10.865,11.434,31907,1.1409,17,42
10.865,11.434,13.64,31640,1.0404,17,42
10.293,10.87,13.646,31429,1.9747,17,42
11.439,12,14.182,31586,0.64877,18,42
12,12.555,15.761,31718,0.9616,18,42
11.438,12,14.181,31193,0.43625,18,42
10.292,10.869,13.645,31553,0.77221,18,42
11.443,12.004,14.718,31503,2.7073,18,42
10.873,11.443,13.108,31497,2.126,18,42
11.438,11.438,12.554,31564,1.4724,18,42
11.443,11.443,14.187,30891,0.7385,18,42
11.443,12.004,13.108,30855,1.2815,18,42
11.443,12.004,13.65,30905,1.7984,16,44
11.443,12.004,18.31,31092,1.8962,16,44
12.004,12.559,16.796,30813,2.2671,16,44
11.443,11.443,16.796,31256,1.3605,16,44
10.296,10.873,14.718,30639,1.1833,16,44
11.438,11.438,15.238,31332,0.92411,16,44
13.645,14.181,17.298,31196,1.7498,16,44
10.873,10.873,12.559,31539,1.8487,16,44
10.873,11.443,12.004,31703,2.4984,16,44
12.554,12.554,13.645,31710,1.0517,16,44
11.443,12.004,13.108,31634,0.70994,17,45
13.102,13.645,16.789,31553,0.16825,17,45
13.65,14.187,17.809,31517,1.7293,17,45
13.108,13.65,21.245,31760,2.7119,17,45
13.65,14.187,22.672,31748,3.3875,17,45
13.108,13.108,19.301,31992,2.3481,17,45
12.004,12.559,15.244,31718,1.261,17,45
11.447,12.008,14.723,31591,1.2398,17,45
12.008,12.008,15.772,31110,1.659,17,45
11.447,11.447,15.25,31029,1.2212,17,45
12.564,12.564,14.723,30721,0.70529,18,47
12.564,13.112,15.25,31036,1.7716,18,47
10.304,10.882,12.569,30873,1.6949,18,47
11.447,12.008,13.112,30930,1.6522,18,47
11.447,11.447,16.289,30594,1.7974,18,47
10.882,10.882,14.197,31285,2.6921,18,47
12.008,12.008,13.112,31618,0.95677,18,47
11.451,11.451,12.013,32112,0.65208,18,47
10.308,10.886,12.018,31913,1.1171,18,47
10.886,11.456,12.018,31808,2.0123,18,47
11.456,11.456,13.666,31558,2.3141,19,46
11.456,12.018,15.784,32766,2.3291,19,46
11.456,11.456,14.203,32882,1.4319,19,46
12.018,12.574,15.784,32882,0.31728,19,46
12.018,12.018,15.262,32095,0.15313,19,46
10.885,11.455,13.122,32651,1.4735,19,46
10.89,10.89,12.022,32843,2.5106,19,46
10.885,10.885,12.573,33108,2.7831,19,46
10.89,10.89,12.578,33286,0.79144,19,46
12.027,12.027,13.132,33237,0.25384,19,46
12.022,12.578,14.208,32863,1.1786,20,47
