country code,zip,place name,admin name1,admin code1,admin name2,admin code2,admin name3,admin code3,lat,lon,accuracy
CH,8143,Uetliberg,Kanton Z’_rich,ZH,Bezirk Affoltern,101,Stallikon,13,47.3485,8.4918,6
CH,8143,Stallikon,Kanton Z’_rich,ZH,Bezirk Affoltern,101,Stallikon,13,47.3298,8.4896,6
CH,8906,Bonstetten,Kanton Z’_rich,ZH,Bezirk Affoltern,101,Bonstetten,3,47.316,8.4625,6
CH,8907,Wettswil,Kanton Z’_rich,ZH,Bezirk Affoltern,101,Wettswil am Albis,14,47.3374,8.4706,6
CH,8908,Hedingen,Kanton Z’_rich,ZH,Bezirk Affoltern,101,Hedingen,5,47.3023,8.4504,6
CH,8909,Zwillikon,Kanton Z’_rich,ZH,Bezirk Affoltern,101,Affoltern am Albis,2,47.2886,8.4309,6
CH,8910,Affoltern am Albis,Kanton Z’_rich,ZH,Bezirk Affoltern,101,Affoltern am Albis,2,47.2788,8.4544,6
CH,8911,Rifferswil,Kanton Z’_rich,ZH,Bezirk Affoltern,101,Rifferswil,12,47.2455,8.4949,6
CH,8912,Obfelden,Kanton Z’_rich,ZH,Bezirk Affoltern,101,Obfelden,10,47.2604,8.4224,6
CH,8913,Ottenbach,Kanton Z’_rich,ZH,Bezirk Affoltern,101,Ottenbach,11,47.2811,8.4086,6
CH,8914,Aeugst am Albis,Kanton Z’_rich,ZH,Bezirk Affoltern,101,Aeugst am Albis,1,47.268,8.4891,6
CH,8914,Aeugstertal,Kanton Z’_rich,ZH,Bezirk Affoltern,101,Aeugst am Albis,1,47.2828,8.4936,6
CH,8915,Hausen am Albis,Kanton Z’_rich,ZH,Bezirk Affoltern,101,Hausen am Albis,4,47.2496,8.533,6
CH,8925,Ebertswil,Kanton Z’_rich,ZH,Bezirk Affoltern,101,Hausen am Albis,4,47.2276,8.5537,6
CH,8926,Uerzlikon,Kanton Z’_rich,ZH,Bezirk Affoltern,101,Kappel am Albis,6,47.2184,8.4992,6
CH,8926,Kappel am Albis,Kanton Z’_rich,ZH,Bezirk Affoltern,101,Kappel am Albis,6,47.2285,8.5186,6
CH,8926,Hauptikon,Kanton Z’_rich,ZH,Bezirk Affoltern,101,Kappel am Albis,6,47.2325,8.4942,6
CH,8932,Mettmenstetten,Kanton Z’_rich,ZH,Bezirk Affoltern,101,Mettmenstetten,9,47.2487,8.4662,6
CH,8933,Maschwanden,Kanton Z’_rich,ZH,Bezirk Affoltern,101,Maschwanden,8,47.2357,8.4309,6
CH,8934,Knonau,Kanton Z’_rich,ZH,Bezirk Affoltern,101,Knonau,7,47.2243,8.4631,6
CH,8212,Nohl,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Laufen-Uhwiesen,34,47.6633,8.6103,6
CH,8245,Feuerthalen,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Feuerthalen,27,47.689,8.6441,6
CH,8246,Langwiesen,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Feuerthalen,27,47.6834,8.6625,6
CH,8247,Flurlingen,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Flurlingen,29,47.6836,8.6355,6
CH,8248,Uhwiesen,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Laufen-Uhwiesen,34,47.6693,8.6501,6
CH,8414,Buch am Irchel,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Buch am Irchel,24,47.5505,8.6251,6
CH,8415,Gr’_slikon,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Berg am Irchel,23,47.5559,8.6049,6
CH,8415,Berg am Irchel,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Berg am Irchel,23,47.5631,8.586,6
CH,8416,Flaach,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Flaach,28,47.5834,8.6019,6
CH,8444,Henggart,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Henggart,31,47.5604,8.6808,6
CH,8447,Dachsen,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Dachsen,25,47.6617,8.6244,6
CH,8450,Andelfingen,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Andelfingen,30,47.5947,8.6814,6
CH,8451,Kleinandelfingen,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Kleinandelfingen,33,47.6065,8.6848,6
CH,8452,Adlikon b. Andelfingen,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Adlikon,21,47.5769,8.705,6
CH,8453,Alten,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Kleinandelfingen,33,47.597,8.6416,6
CH,8457,Humlikon,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Humlikon,32,47.5748,8.6759,6
CH,8458,Dorf,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Dorf,26,47.5713,8.6493,6
CH,8459,Volken,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Volken,43,47.5766,8.6315,6
CH,8460,Marthalen,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Marthalen,35,47.6205,8.6408,6
CH,8461,Oerlingen,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Kleinandelfingen,33,47.6232,8.6777,6
CH,8462,Rheinau,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Rheinau,38,47.6276,8.618,6
CH,8463,Benken ZH,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Benken (ZH),22,47.6538,8.6547,6
CH,8464,Ellikon am Rhein,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Marthalen,35,47.604,8.6032,6
CH,8465,Wildensbuch,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Tr’_llikon,40,47.6513,8.6794,6
CH,8465,Rudolfingen,Kanton Z’_rich,ZH,Bezirk Andelfingen,102,Tr’_llikon,40,47.6381,8.6713,6
