,Kemeny_Change_PCT
"Australia-Agriculture, Hunting, Forestry and Fishing",0.00470059138643
Australia-Mining and Quarrying,0.0707536100971
"Australia-Food, Beverages and Tobacco",-0.00012539248541
Australia-Textiles and Textile Products,0.00081802178259
"Australia-Leather, Leather and Footwear",0.000286768411512
Australia-Wood and Products of Wood and Cork,-0.000751539070756
"Australia-Pulp, Paper, Paper , Printing and Publishing",-0.00259662325368
"Australia-Coke, Refined Petroleum and Nuclear Fuel",0.00850020418221
Australia-Chemicals and Chemical Products,0.00476419774347
Australia-Rubber and Plastics,0.00119761039113
Australia-Other Non-Metallic Mineral,-0.000102956344055
Australia-Basic Metals and Fabricated Metal,0.0330822868615
"Australia-Machinery, Nec",0.0066266117118
Australia-Electrical and Optical Equipment,0.00302477206824
Australia-Transport Equipment,0.00740416361174
"Australia-Manufacturing, Nec; Recycling",0.00208595013335
"Australia-Electricity, Gas and Water Supply",-0.00946957822008
Australia-Construction,-0.055101172583
"Australia-Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",-0.00341321878844
"Australia-Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",-0.0316790523403
"Australia-Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",-0.0181865558386
Australia-Hotels and Restaurants,-0.00518383915169
Australia-Inland Transport,-0.00337490780302
Australia-Water Transport,0.00124840603086
Australia-Air Transport,0.0131894820637
Australia-Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,-0.00295512717977
Australia-Post and Telecommunications,-0.00473730281783
Australia-Financial Intermediation,-0.0431975937701
Australia-Real Estate Activities,-0.0696619827034
Australia-Renting of M&Eq and Other Business Activities,-0.0287079405495
Australia-Public Admin and Defence; Compulsory Social Security,-0.0226088498439
Australia-Education,-0.0138892031141
Australia-Health and Social Work,-0.0346475665443
"Australia-Other Community, Social and Personal Services",-0.0141721146647
Australia-Private Households with Employed Persons,8.66784821193e-05
"Austria-Agriculture, Hunting, Forestry and Fishing",0.00178257642239
